1968.041096
   Z,        E,        F  
   7  6.498E+03  1.000E-33
   7  7.471E+03  1.000E-33
   7  8.590E+03  1.000E-33
   7  9.877E+03  1.000E-33
   7  1.136E+04  1.000E-33
   7  1.306E+04  1.000E-33
   7  1.501E+04  1.000E-33
   7  1.726E+04  1.000E-33
   7  1.984E+04  1.000E-33
   7  2.282E+04  1.000E-33
   7  2.623E+04  1.000E-33
   7  3.016E+04  1.000E-33
   7  3.468E+04  1.000E-33
   7  3.987E+04  1.000E-33
   7  4.584E+04  1.000E-33
   7  5.271E+04  1.000E-33
   7  6.060E+04  1.000E-33
   7  6.968E+04  1.000E-33
   7  8.011E+04  1.000E-33
   7  9.211E+04  1.000E-33
   7  1.059E+05  1.000E-33
   7  1.218E+05  1.000E-33
   7  1.400E+05  1.000E-33
   8  1.600E-01  1.000E-33
   8  1.840E-01  1.000E-33
   8  2.115E-01  1.000E-33
   8  2.432E-01  1.000E-33
   8  2.796E-01  1.000E-33
   8  3.215E-01  1.000E-33
   8  3.696E-01  1.000E-33
   8  4.250E-01  1.000E-33
   8  4.886E-01  1.000E-33
   8  5.618E-01  1.000E-33
   8  6.459E-01  1.000E-33
   8  7.427E-01  1.000E-33
   8  8.539E-01  1.000E-33
   8  9.817E-01  1.000E-33
   8  1.129E+00  1.000E-33
   8  1.298E+00  1.000E-33
   8  1.492E+00  1.000E-33
   8  1.716E+00  1.000E-33
   8  1.973E+00  1.000E-33
   8  2.268E+00  1.000E-33
   8  2.608E+00  1.000E-33
   8  2.998E+00  1.000E-33
   8  3.447E+00  1.000E-33
   8  3.963E+00  1.000E-33
   8  4.557E+00  1.000E-33
   8  5.239E+00  1.000E-33
   8  6.024E+00  1.000E-33
   8  6.926E+00  1.000E-33
   8  7.963E+00  1.000E-33
   8  9.156E+00  1.000E-33
   8  1.053E+01  1.000E-33
   8  1.210E+01  1.000E-33
   8  1.392E+01  1.000E-33
   8  1.600E+01  1.000E-33
   8  1.840E+01  1.000E-33
   8  2.115E+01  1.000E-33
   8  2.432E+01  1.000E-33
   8  2.796E+01  1.000E-33
   8  3.215E+01  1.000E-33
   8  3.696E+01  1.000E-33
   8  4.250E+01  1.000E-33
   8  4.886E+01  1.000E-33
   8  5.618E+01  1.000E-33
   8  6.459E+01  1.000E-33
   8  7.427E+01  1.000E-33
   8  8.539E+01  1.000E-33
   8  9.817E+01  1.000E-33
   8  1.129E+02  1.000E-33
   8  1.298E+02  1.000E-33
   8  1.492E+02  1.000E-33
   8  1.716E+02  1.000E-33
   8  1.973E+02  1.000E-33
   8  2.268E+02  1.000E-33
   8  2.608E+02  1.000E-33
   8  2.998E+02  1.000E-33
   8  3.447E+02  1.000E-33
   8  3.963E+02  1.000E-33
   8  4.557E+02  1.000E-33
   8  5.239E+02  1.000E-33
   8  6.024E+02  1.000E-33
   8  6.926E+02  1.000E-33
   8  7.963E+02  1.000E-33
   8  9.156E+02  1.000E-33
   8  1.053E+03  1.000E-33
   8  1.210E+03  1.000E-33
   8  1.392E+03  1.000E-33
   8  1.600E+03  1.000E-33
   8  1.840E+03  1.000E-33
   8  2.115E+03  1.000E-33
   8  2.432E+03  1.000E-33
   8  2.796E+03  1.000E-33
   8  3.215E+03  1.000E-33
   8  3.696E+03  1.000E-33
   8  4.250E+03  1.000E-33
   8  4.886E+03  1.000E-33
   8  5.618E+03  1.000E-33
   8  6.459E+03  1.000E-33
   8  7.427E+03  1.000E-33
   8  8.539E+03  1.000E-33
   8  9.817E+03  1.000E-33
   8  1.129E+04  1.000E-33
   8  1.298E+04  1.000E-33
   8  1.492E+04  1.000E-33
   8  1.716E+04  1.000E-33
   8  1.973E+04  1.000E-33
   8  2.268E+04  1.000E-33
   8  2.608E+04  1.000E-33
   8  2.998E+04  1.000E-33
   8  3.447E+04  1.000E-33
   8  3.963E+04  1.000E-33
   8  4.557E+04  1.000E-33
   8  5.239E+04  1.000E-33
   8  6.024E+04  1.000E-33
   8  6.926E+04  1.000E-33
   8  7.963E+04  1.000E-33
   8  9.156E+04  1.000E-33
   8  1.053E+05  1.000E-33
   8  1.210E+05  1.000E-33
   8  1.392E+05  1.000E-33
   8  1.600E+05  1.000E-33
   9  1.900E-01  1.000E-33
   9  2.185E-01  1.000E-33
   9  2.512E-01  1.000E-33
   9  2.888E-01  1.000E-33
   9  3.320E-01  1.000E-33
   9  3.818E-01  1.000E-33
   9  4.389E-01  1.000E-33
   9  5.047E-01  1.000E-33
   9  5.802E-01  1.000E-33
   9  6.671E-01  1.000E-33
   9  7.670E-01  1.000E-33
   9  8.819E-01  1.000E-33
   9  1.014E+00  1.000E-33
   9  1.166E+00  1.000E-33
   9  1.340E+00  1.000E-33
   9  1.541E+00  1.000E-33
